word,freq
Murcia,133
años,47
Madrid,46
José,44
diario,39
Juan,32
periodista,32
director,31
Jara,30
Carrillo,28
Antonio,25
España,25
Martínez,23
español,22
periódico,22
ciudad,22
muerte,21
dos,21
vida,20
San,20
Universidad,20
escritor,18
artículos,18
bajo,18
Tornel,18
revista,17
Pedro,17
programa,17
política,16
junto,16
Guerrero,16
año,16
gran,15
época,15
Ramón,14
dirigió,14
García,14
nombrado,14
Luis,14
María,13
prensa,13
obras,13
carrera,13
Ruiz,13
Tras,13
así,13
Premio,13
Diario,13
Verdad,12
libros,12
publicó,12
redactor,12
Radio,12
Sánchez,11
etapa,11
poeta,11
ser,11
además,11
estudios,11
Francisco,11
Región,11
comunicación,11
profesor,11
periodismo,11
2019,11
cargo,11
tiempo,11
febrero,10
parte,10
española,10
escribió,10
abril,10
Derecho,10
libro,10
escritores,10
Nicolás,10
número,10
entonces,10
después,10
Carlos,10
primera,10
novela,10
Prensa,10
colaborador,10
varios,10
murciano,10
historia,10
diciembre,10
información,10
Liberal,10
literatura,9
Fernández,9
Asociación,9
Nacional,9
Mula,9
Ballester,9
nacional,9
Jiménez,9
hijos,9
murciana,9
Campmany,9
mismo,9
día,9
sido,9
edición,9
Ortega,9
Lorca,8
mayo,8
Miguel,8
1927,8
Internacional,8
octubre,8
Español,8
habitual,8
Española,8
tres,8
1916,8
colaboró,8
artistas,8
casa,8
convirtió,8
junio,8
Alfonso,8
radio,8
título,8
misma,8
largo,8
poesía,8
sección,8
actualidad,8
julio,8
periodística,8
tras,8
dirección,8
primer,8
2007,8
septiembre,8
deportes,8
enero,7
luego,7
Gobierno,7
mejor,7
1879,7
Además,7
calle,7
revistas,7
premio,7
padre,7
murcianos,7
Carmen,7
marzo,7
jefe,7
Guillén,7
tarde,7
ejemplo,7
sólo,7
1955,7
COPE,7
aunque,7
vez,7
corresponsal,7
2006,7
Posteriormente,7
tradicionalista,7
Correo,7
Católica,7
periódicos,7
mañana,7
secretario,7
TV,7
cadena,7
2012,7
amor,7
Podcast,7
Cadena,7
SER,7
noticias,7
Pagán,7
presentador,7
Nació,6
amistad,6
Díaz,6
asimismo,6
relación,6
guerra,6
presidente,6
1915,6
novelas,6
arte,6
pseudónimo,6
publicado,6
nombre,6
actividad,6
Mariano,6
desarrolló,6
Guerra,6
amigos,6
Andrés,6
pasó,6
seudónimo,6
Jorge,6
siendo,6
columna,6
artículo,6
comenzó,6
Periodismo,6
nuevo,6
puesto,6
general,6
2002,6
temas,6
Revista,6
toda,6
palabras,6
2021,6
fin,6
Complutense,6
labor,6
televisión,6
guionista,6
medios,6
días,6
Mundial,6
Peñaflor,6
elegido,6
Ayuntamiento,6
poetas,6
siempre,6
Grupo,6
2010,6
nació,6
Colegio,6
criminal,6
2022,6
Mundo,6
2014,6
archivero,6
Telecinco,6
Comunicación,6
familia,5
General,5
1923,5
creó,5
Nueva,5
Hernández,5
Partido,5
1928,5
crítico,5
consejero,5
literarias,5
Teatro,5
académico,5
Real,5
Academia,5
1894,5
juventud,5
Literatura,5
dedicó,5
agosto,5
madre,5
páginas,5
literaria,5
Levante,5
Flores,5
1920,5
últimos,5
infancia,5
ingresó,5
Suplemento,5
Sudeste,5
través,5
X,5
1977,5
recibió,5
Alberto,5
Aunque,5
escrito,5
autor,5
obra,5
interpretación,5
mundo,5
siglo,5
Molina,5
columnista,5
ABC,5
columnas,5
2000,5
Escuela,5
semanario,5
fundador,5
historiador,5
1943,5
González,5
hecho,5
ficción,5
2004,5
diversos,5
cultural,5
programas,5
mantuvo,5
grandes,5
Siglo,5
meses,5
seis,5
verano,5
periodo,5
formato,5
Información,5
equipo,5
presentó,5
docente,5
joven,5
poemas,5
directora,5
Negra,5
miedo,5
2018,5
Teresa,5
riada,5
Noticias,5
costumbres,5
2011,5
2020,5
Cartagena,5
presenta,5
Joaquín,4
provincia,4
México,4
estudió,4
abandonó,4
varias,4
veces,4
1929,4
político,4
1930,4
Unión,4
organización,4
ayuda,4
solo,4
1931,4
Vida,4
Federico,4
llegó,4
hacia,4
matrimonio,4
poética,4
clero,4
Antolín,4
1978,4
ejerció,4
Instituto,4
Blanco,4
1913,4
Editorial,4
grupo,4
cinco,4
Conde,4
muchas,4
personas,4
Sabio,4
aroma,4
numerosos,4
casi,4
diaria,4
crítica,4
licenciado,4
Virgen,4
Fuensanta,4
manera,4
lado,4
acerca,4
última,4
Municipal,4
Rafael,4
modo,4
Pérez,4
noviembre,4
satírico,4
Letras,4
Juventud,4
RNE,4
papel,4
agencia,4
1966,4
Barcelona,4
según,4
profesional,4
1985,4
honor,4
Artes,4
Santa,4
López,4
vocación,4
produjo,4
mayor,4
